Data,Confirmados,Óbitos
12/03,6,0
13/03,6,0
16/03,6,0
17/03,12,0
18/03,14,0
19/03,23,0
20/03,36,0
21/03,43,0
22/03,50,0
23/03,56,0
24/03,65,0
25/03,93,0
26/03,102,0
27/03,121,2
28/03,133,2
29/03,147,2
30/03,179,3
31/03,155,3
01/04,224,3
02/04,252,4
03/04,301,5
04/04,395,7
05/04,439,10
06/04,458,14
07/04,503,15
08/04,539,17
09/04,609,23
10/04,643,25
11/04,676,26
12/04,738,30
13/04,756,32
14/04,791,38
15/04,804,40
16/04,832,41
17/04,874,42
18/04,945,47
19/04,987,50
20/04,1007,51
21/04,1025,53
22/04,1063,58
23/04,1082,60
24/04,1119,65
25/04,1140,69
26/04,1156,73
27/04,1186,75
28/04,1271,77
29/04,1348,82
30/04,1407,86
01/05,1447,89
02/05,1492,90
03/05,1514,93
04/05,1562,94
05/05,1588,99
06/05,1627,101
